name,LCZ_1,LCZ_2,LCZ_3,LCZ_4,LCZ_5,LCZ_6,LCZ_7,LCZ_8,LCZ_9,LCZ_10,LCZ_11,LCZ_12,LCZ_13,LCZ_14,LCZ_15,LCZ_16,LCZ_17
深圳市,276093600.0,348190016.0,388749664.0,372570336.0,485381920.0,226070960.0,235876832.0,223419136.0,80939136.0,196378320.0,53349840.0,53336616.0,43172204.0,53099932.0,297428032.0,187505600.0,33239090.0
珠海市,160469184.0,173920304.0,128829208.0,128986632.0,113083784.0,93375424.0,46219032.0,62726264.0,19006542.0,46670284.0,10782166.0,14407346.0,12046508.0,10339611.0,18666386.0,7265398.5,5814609.0
佛山市,53624116.0,82682640.0,99941992.0,76998168.0,86125512.0,46737944.0,30107112.0,41170504.0,12438219.0,50652920.0,6040038.0,6958348.0,10059108.0,13121482.0,30974688.0,23206558.0,11010774.0
肇庆市,65264800.0,71404888.0,79193112.0,40128416.0,42627532.0,44226488.0,24632590.0,59950012.0,13270188.0,41427536.0,1626796.75,3776587.0,8427942.0,8312996.0,27756934.0,16851876.0,6928091.0
广州市,338320640.0,470567552.0,267908480.0,179646144.0,344045120.0,78647680.0,45395312.0,75748288.0,64725788.0,93675752.0,7259479.0,14324754.0,13135526.0,21407968.0,35318948.0,46250080.0,29009450.0
惠州市,78529768.0,81774360.0,95927328.0,66320672.0,49263204.0,37836608.0,28639302.0,60240628.0,21035570.0,52028956.0,2201057.5,1972496.5,7800877.5,14763765.0,34365684.0,33602848.0,10150513.0
中山市,79940960.0,119703640.0,131841608.0,103792088.0,114372040.0,90330648.0,61246980.0,70356376.0,36121444.0,87939728.0,14100020.0,28409596.0,14708145.0,19933538.0,34709684.0,38285124.0,10960036.0
江门市,51513508.0,79723440.0,102632208.0,50656680.0,50091188.0,53240256.0,23290300.0,52564684.0,12825685.0,44553352.0,2934910.25,2565506.75,5697096.0,9664459.0,21652868.0,11473429.0,8096780.0
东莞市,133172184.0,161703504.0,153829280.0,127855632.0,125924048.0,104887176.0,106413400.0,90308096.0,59832176.0,111966136.0,20177524.0,43233140.0,28482210.0,42265696.0,71033288.0,65909984.0,21312650.0
